,5,10,15,20
0,0,0,0,0
1,2.12E-14,8E-14,1.71E-13,2.91E-13
2,4.24E-14,1.6E-13,3.41E-13,5.82E-13
3,6.36E-14,2.39E-13,5.12E-13,8.72E-13
4,8.47E-14,3.19E-13,6.81E-13,1.161E-12
5,1.057E-13,3.98E-13,8.5E-13,1.449E-12
6,1.266E-13,4.76E-13,1.019E-12,1.736E-12
7,1.474E-13,5.55E-13,1.186E-12,2.02E-12
8,1.68E-13,6.32E-13,1.352E-12,2.303E-12
9,1.884E-13,7.09E-13,1.516E-12,2.583E-12
10,2.087E-13,7.85E-13,1.679E-12,2.861E-12
11,2.288E-13,8.61E-13,1.84E-12,3.135E-12
12,2.486E-13,9.35E-13,1.999E-12,3.407E-12
13,2.681E-13,1.009E-12,2.157E-12,3.674E-12
14,2.874E-13,1.081E-12,2.312E-12,3.938E-12
15,3.064E-13,1.153E-12,2.464E-12,4.198E-12
16,3.251E-13,1.223E-12,2.614E-12,4.453E-12
17,3.435E-13,1.292E-12,2.761E-12,4.704E-12
18,3.614E-13,1.36E-12,2.906E-12,4.95E-12
19,3.791E-13,1.426E-12,3.047E-12,5.19E-12
20,3.963E-13,1.49E-12,3.185E-12,5.425E-12
21,4.131E-13,1.554E-12,3.319E-12,5.654E-12
22,4.294E-13,1.615E-12,3.45E-12,5.877E-12
23,4.454E-13,1.675E-12,3.578E-12,6.094E-12
24,4.608E-13,1.733E-12,3.701E-12,6.304E-12
25,4.758E-13,1.789E-12,3.821E-12,6.507E-12
26,4.902E-13,1.843E-12,3.936E-12,6.703E-12
27,5.041E-13,1.895E-12,4.047E-12,6.892E-12
28,5.175E-13,1.945E-12,4.154E-12,7.073E-12
29,5.303E-13,1.993E-12,4.256E-12,7.246E-12
30,5.425E-13,2.039E-12,4.353E-12,7.412E-12
31,5.542E-13,2.082E-12,4.446E-12,7.569E-12
32,5.652E-13,2.124E-12,4.533E-12,7.718E-12
33,5.756E-13,2.162E-12,4.616E-12,7.858E-12
34,5.854E-13,2.199E-12,4.693E-12,7.989E-12
35,5.945E-13,2.233E-12,4.765E-12,8.111E-12
36,6.029E-13,2.264E-12,4.832E-12,8.224E-12
37,6.107E-13,2.293E-12,4.893E-12,8.327E-12
38,6.177E-13,2.319E-12,4.948E-12,8.421E-12
39,6.241E-13,2.343E-12,4.998E-12,8.505E-12
40,6.297E-13,2.363E-12,5.042E-12,8.579E-12
41,6.346E-13,2.382E-12,5.08E-12,8.643E-12
42,6.387E-13,2.397E-12,5.112E-12,8.697E-12
43,6.421E-13,2.409E-12,5.138E-12,8.74E-12
44,6.447E-13,2.419E-12,5.158E-12,8.773E-12
45,6.466E-13,2.425E-12,5.171E-12,8.796E-12
46,6.477E-13,2.429E-12,5.179E-12,8.808E-12
47,6.48E-13,2.43E-12,5.18E-12,8.809E-12
48,6.475E-13,2.428E-12,5.174E-12,8.8E-12
49,6.462E-13,2.423E-12,5.163E-12,8.779E-12
50,6.441E-13,2.414E-12,5.145E-12,8.748E-12
51,6.412E-13,2.403E-12,5.121E-12,8.706E-12
52,6.376E-13,2.389E-12,5.09E-12,8.653E-12
53,6.331E-13,2.372E-12,5.053E-12,8.59E-12
54,6.278E-13,2.352E-12,5.009E-12,8.515E-12
55,6.217E-13,2.329E-12,4.959E-12,8.429E-12
56,6.148E-13,2.302E-12,4.903E-12,8.333E-12
57,6.071E-13,2.273E-12,4.84E-12,8.226E-12
58,5.986E-13,2.241E-12,4.771E-12,8.108E-12
59,5.893E-13,2.206E-12,4.696E-12,7.98E-12
60,5.792E-13,2.168E-12,4.615E-12,7.841E-12
61,5.684E-13,2.127E-12,4.528E-12,7.692E-12
62,5.568E-13,2.084E-12,4.434E-12,7.533E-12
63,5.444E-13,2.037E-12,4.335E-12,7.364E-12
64,5.314E-13,1.988E-12,4.23E-12,7.185E-12
65,5.175E-13,1.936E-12,4.119E-12,6.996E-12
66,5.03E-13,1.881E-12,4.002E-12,6.798E-12
67,4.878E-13,1.824E-12,3.88E-12,6.59E-12
68,4.719E-13,1.765E-12,3.753E-12,6.374E-12
69,4.553E-13,1.702E-12,3.621E-12,6.148E-12
70,4.381E-13,1.638E-12,3.483E-12,5.915E-12
71,4.203E-13,1.571E-12,3.341E-12,5.673E-12
72,4.019E-13,1.502E-12,3.194E-12,5.423E-12
73,3.829E-13,1.431E-12,3.043E-12,5.166E-12
74,3.634E-13,1.358E-12,2.887E-12,4.901E-12
75,3.433E-13,1.283E-12,2.727E-12,4.629E-12
76,3.228E-13,1.206E-12,2.563E-12,4.351E-12
77,3.017E-13,1.127E-12,2.396E-12,4.067E-12
78,2.803E-13,1.047E-12,2.225E-12,3.777E-12
79,2.584E-13,9.65E-13,2.051E-12,3.482E-12
80,2.361E-13,8.82E-13,1.874E-12,3.181E-12
81,2.135E-13,7.98E-13,1.695E-12,2.876E-12
82,1.906E-13,7.12E-13,1.513E-12,2.567E-12
83,1.674E-13,6.25E-13,1.328E-12,2.255E-12
84,1.44E-13,5.38E-13,1.142E-12,1.939E-12
85,1.203E-13,4.49E-13,9.54E-13,1.62E-12
86,9.64E-14,3.6E-13,7.65E-13,1.299E-12
87,7.25E-14,2.71E-13,5.75E-13,9.76E-13
88,4.84E-14,1.81E-13,3.84E-13,6.51E-13
89,2.42E-14,9E-14,1.92E-13,3.26E-13
90,0,0,0,0
91,-2.42E-14,-9E-14,-1.92E-13,-3.26E-13
92,-4.84E-14,-1.81E-13,-3.84E-13,-6.51E-13
93,-7.25E-14,-2.71E-13,-5.75E-13,-9.76E-13
94,-9.64E-14,-3.6E-13,-7.65E-13,-1.299E-12
95,-1.203E-13,-4.49E-13,-9.54E-13,-1.62E-12
96,-1.44E-13,-5.38E-13,-1.142E-12,-1.939E-12
97,-1.674E-13,-6.25E-13,-1.328E-12,-2.255E-12
98,-1.906E-13,-7.12E-13,-1.513E-12,-2.567E-12
99,-2.135E-13,-7.98E-13,-1.695E-12,-2.876E-12
100,-2.361E-13,-8.82E-13,-1.874E-12,-3.181E-12
101,-2.584E-13,-9.65E-13,-2.051E-12,-3.482E-12
102,-2.803E-13,-1.047E-12,-2.225E-12,-3.777E-12
103,-3.017E-13,-1.127E-12,-2.396E-12,-4.067E-12
104,-3.228E-13,-1.206E-12,-2.563E-12,-4.351E-12
105,-3.433E-13,-1.283E-12,-2.727E-12,-4.629E-12
106,-3.634E-13,-1.358E-12,-2.887E-12,-4.901E-12
107,-3.829E-13,-1.431E-12,-3.043E-12,-5.166E-12
108,-4.019E-13,-1.502E-12,-3.194E-12,-5.423E-12
109,-4.203E-13,-1.571E-12,-3.341E-12,-5.673E-12
110,-4.381E-13,-1.638E-12,-3.483E-12,-5.915E-12
111,-4.553E-13,-1.702E-12,-3.621E-12,-6.148E-12
112,-4.719E-13,-1.765E-12,-3.753E-12,-6.374E-12
113,-4.878E-13,-1.824E-12,-3.88E-12,-6.59E-12
114,-5.03E-13,-1.881E-12,-4.002E-12,-6.798E-12
115,-5.175E-13,-1.936E-12,-4.119E-12,-6.996E-12
116,-5.314E-13,-1.988E-12,-4.23E-12,-7.185E-12
117,-5.444E-13,-2.037E-12,-4.335E-12,-7.364E-12
118,-5.568E-13,-2.084E-12,-4.434E-12,-7.533E-12
119,-5.684E-13,-2.127E-12,-4.528E-12,-7.692E-12
120,-5.792E-13,-2.168E-12,-4.615E-12,-7.841E-12
121,-5.893E-13,-2.206E-12,-4.696E-12,-7.98E-12
122,-5.986E-13,-2.241E-12,-4.771E-12,-8.108E-12
123,-6.071E-13,-2.273E-12,-4.84E-12,-8.226E-12
124,-6.148E-13,-2.302E-12,-4.903E-12,-8.333E-12
125,-6.217E-13,-2.329E-12,-4.959E-12,-8.429E-12
126,-6.278E-13,-2.352E-12,-5.009E-12,-8.515E-12
127,-6.331E-13,-2.372E-12,-5.053E-12,-8.59E-12
128,-6.376E-13,-2.389E-12,-5.09E-12,-8.653E-12
129,-6.412E-13,-2.403E-12,-5.121E-12,-8.706E-12
130,-6.441E-13,-2.414E-12,-5.145E-12,-8.748E-12
131,-6.462E-13,-2.423E-12,-5.163E-12,-8.779E-12
132,-6.475E-13,-2.428E-12,-5.174E-12,-8.8E-12
133,-6.48E-13,-2.43E-12,-5.18E-12,-8.809E-12
134,-6.477E-13,-2.429E-12,-5.179E-12,-8.808E-12
135,-6.466E-13,-2.425E-12,-5.171E-12,-8.796E-12
136,-6.447E-13,-2.419E-12,-5.158E-12,-8.773E-12
137,-6.421E-13,-2.409E-12,-5.138E-12,-8.74E-12
138,-6.387E-13,-2.397E-12,-5.112E-12,-8.697E-12
139,-6.346E-13,-2.382E-12,-5.08E-12,-8.643E-12
140,-6.297E-13,-2.363E-12,-5.042E-12,-8.579E-12
141,-6.241E-13,-2.343E-12,-4.998E-12,-8.505E-12
142,-6.177E-13,-2.319E-12,-4.948E-12,-8.421E-12
143,-6.107E-13,-2.293E-12,-4.893E-12,-8.327E-12
144,-6.029E-13,-2.264E-12,-4.832E-12,-8.224E-12
145,-5.945E-13,-2.233E-12,-4.765E-12,-8.111E-12
146,-5.854E-13,-2.199E-12,-4.693E-12,-7.989E-12
147,-5.756E-13,-2.162E-12,-4.616E-12,-7.858E-12
148,-5.652E-13,-2.124E-12,-4.533E-12,-7.718E-12
149,-5.542E-13,-2.082E-12,-4.446E-12,-7.569E-12
150,-5.425E-13,-2.039E-12,-4.353E-12,-7.412E-12
151,-5.303E-13,-1.993E-12,-4.256E-12,-7.246E-12
152,-5.175E-13,-1.945E-12,-4.154E-12,-7.073E-12
153,-5.041E-13,-1.895E-12,-4.047E-12,-6.892E-12
154,-4.902E-13,-1.843E-12,-3.936E-12,-6.703E-12
155,-4.758E-13,-1.789E-12,-3.821E-12,-6.507E-12
