,5,10,15,20
0,0,0,0,0
1,9.5E-14,3.8E-13,8.4E-13,1.46E-12
2,1.9E-13,7.5E-13,1.67E-12,2.91E-12
3,2.85E-13,1.13E-12,2.5E-12,4.37E-12
4,3.79E-13,1.5E-12,3.34E-12,5.82E-12
5,4.74E-13,1.88E-12,4.17E-12,7.27E-12
6,5.68E-13,2.25E-12,5E-12,8.71E-12
7,6.62E-13,2.62E-12,5.82E-12,1.016E-11
8,7.56E-13,3E-12,6.64E-12,1.159E-11
9,8.49E-13,3.36E-12,7.46E-12,1.302E-11
10,9.42E-13,3.73E-12,8.28E-12,1.444E-11
11,1.034E-12,4.1E-12,9.09E-12,1.586E-11
12,1.126E-12,4.46E-12,9.9E-12,1.727E-11
13,1.217E-12,4.82E-12,1.07E-11,1.867E-11
14,1.308E-12,5.18E-12,1.15E-11,2.006E-11
15,1.398E-12,5.54E-12,1.229E-11,2.143E-11
16,1.487E-12,5.89E-12,1.307E-11,2.28E-11
17,1.575E-12,6.24E-12,1.385E-11,2.415E-11
18,1.663E-12,6.59E-12,1.462E-11,2.549E-11
19,1.75E-12,6.93E-12,1.538E-11,2.682E-11
20,1.835E-12,7.27E-12,1.613E-11,2.813E-11
21,1.92E-12,7.61E-12,1.688E-11,2.943E-11
22,2.004E-12,7.94E-12,1.761E-11,3.071E-11
23,2.086E-12,8.27E-12,1.834E-11,3.197E-11
24,2.168E-12,8.59E-12,1.905E-11,3.322E-11
25,2.248E-12,8.91E-12,1.976E-11,3.444E-11
26,2.327E-12,9.22E-12,2.045E-11,3.564E-11
27,2.404E-12,9.53E-12,2.113E-11,3.683E-11
28,2.48E-12,9.83E-12,2.179E-11,3.799E-11
29,2.555E-12,1.012E-11,2.245E-11,3.912E-11
30,2.628E-12,1.041E-11,2.309E-11,4.023E-11
31,2.699E-12,1.07E-11,2.371E-11,4.132E-11
32,2.769E-12,1.097E-11,2.432E-11,4.238E-11
33,2.837E-12,1.124E-11,2.492E-11,4.341E-11
34,2.903E-12,1.15E-11,2.549E-11,4.441E-11
35,2.967E-12,1.175E-11,2.605E-11,4.538E-11
36,3.029E-12,1.2E-11,2.66E-11,4.632E-11
37,3.089E-12,1.224E-11,2.712E-11,4.723E-11
38,3.147E-12,1.246E-11,2.762E-11,4.81E-11
39,3.202E-12,1.268E-11,2.811E-11,4.894E-11
40,3.255E-12,1.289E-11,2.857E-11,4.974E-11
41,3.306E-12,1.309E-11,2.901E-11,5.05E-11
42,3.354E-12,1.328E-11,2.943E-11,5.122E-11
43,3.399E-12,1.346E-11,2.982E-11,5.19E-11
44,3.442E-12,1.363E-11,3.019E-11,5.253E-11
45,3.481E-12,1.378E-11,3.053E-11,5.312E-11
46,3.518E-12,1.393E-11,3.085E-11,5.366E-11
47,3.551E-12,1.406E-11,3.114E-11,5.416E-11
48,3.582E-12,1.418E-11,3.14E-11,5.46E-11
49,3.608E-12,1.428E-11,3.162E-11,5.499E-11
50,3.632E-12,1.438E-11,3.182E-11,5.532E-11
51,3.651E-12,1.445E-11,3.199E-11,5.56E-11
52,3.667E-12,1.451E-11,3.212E-11,5.582E-11
53,3.679E-12,1.456E-11,3.222E-11,5.598E-11
54,3.686E-12,1.459E-11,3.228E-11,5.607E-11
55,3.69E-12,1.46E-11,3.23E-11,5.61E-11
56,3.689E-12,1.459E-11,3.228E-11,5.606E-11
57,3.683E-12,1.457E-11,3.223E-11,5.595E-11
58,3.673E-12,1.453E-11,3.213E-11,5.576E-11
59,3.657E-12,1.446E-11,3.198E-11,5.55E-11
60,3.637E-12,1.438E-11,3.179E-11,5.516E-11
61,3.611E-12,1.428E-11,3.156E-11,5.473E-11
62,3.579E-12,1.415E-11,3.127E-11,5.423E-11
63,3.542E-12,1.4E-11,3.094E-11,5.363E-11
64,3.499E-12,1.383E-11,3.055E-11,5.295E-11
65,3.449E-12,1.363E-11,3.011E-11,5.217E-11
66,3.393E-12,1.341E-11,2.962E-11,5.129E-11
67,3.331E-12,1.316E-11,2.906E-11,5.032E-11
68,3.262E-12,1.289E-11,2.845E-11,4.924E-11
69,3.186E-12,1.259E-11,2.778E-11,4.807E-11
70,3.103E-12,1.226E-11,2.705E-11,4.678E-11
71,3.013E-12,1.19E-11,2.625E-11,4.539E-11
72,2.915E-12,1.151E-11,2.539E-11,4.389E-11
73,2.81E-12,1.109E-11,2.447E-11,4.228E-11
