,5,10,15,20
0,0,0,0,0
1,9.2E-14,3.7E-13,8.2E-13,1.44E-12
2,1.85E-13,7.4E-13,1.64E-12,2.88E-12
3,2.77E-13,1.1E-12,2.45E-12,4.31E-12
4,3.69E-13,1.47E-12,3.27E-12,5.75E-12
5,4.6E-13,1.84E-12,4.08E-12,7.18E-12
6,5.52E-13,2.2E-12,4.89E-12,8.6E-12
7,6.42E-13,2.56E-12,5.7E-12,1.002E-11
8,7.33E-13,2.92E-12,6.5E-12,1.143E-11
9,8.23E-13,3.28E-12,7.3E-12,1.284E-11
10,9.12E-13,3.64E-12,8.1E-12,1.423E-11
11,1.001E-12,3.99E-12,8.88E-12,1.561E-11
12,1.089E-12,4.35E-12,9.67E-12,1.699E-11
13,1.177E-12,4.69E-12,1.044E-11,1.835E-11
14,1.263E-12,5.04E-12,1.121E-11,1.97E-11
15,1.349E-12,5.38E-12,1.197E-11,2.103E-11
16,1.433E-12,5.72E-12,1.272E-11,2.235E-11
17,1.517E-12,6.05E-12,1.346E-11,2.365E-11
18,1.6E-12,6.38E-12,1.419E-11,2.493E-11
19,1.681E-12,6.71E-12,1.491E-11,2.62E-11
20,1.761E-12,7.03E-12,1.562E-11,2.745E-11
21,1.84E-12,7.34E-12,1.632E-11,2.867E-11
22,1.917E-12,7.65E-12,1.7E-11,2.988E-11
23,1.993E-12,7.95E-12,1.768E-11,3.106E-11
24,2.067E-12,8.25E-12,1.834E-11,3.221E-11
25,2.14E-12,8.54E-12,1.898E-11,3.334E-11
26,2.211E-12,8.82E-12,1.961E-11,3.445E-11
27,2.281E-12,9.1E-12,2.022E-11,3.553E-11
28,2.348E-12,9.37E-12,2.082E-11,3.658E-11
29,2.414E-12,9.63E-12,2.14E-11,3.759E-11
30,2.478E-12,9.88E-12,2.197E-11,3.858E-11
31,2.539E-12,1.013E-11,2.251E-11,3.954E-11
32,2.599E-12,1.037E-11,2.304E-11,4.046E-11
33,2.656E-12,1.06E-11,2.354E-11,4.134E-11
34,2.711E-12,1.081E-11,2.403E-11,4.219E-11
35,2.764E-12,1.102E-11,2.449E-11,4.301E-11
36,2.814E-12,1.122E-11,2.494E-11,4.378E-11
37,2.861E-12,1.141E-11,2.535E-11,4.451E-11
38,2.906E-12,1.159E-11,2.575E-11,4.52E-11
39,2.949E-12,1.176E-11,2.612E-11,4.585E-11
40,2.988E-12,1.192E-11,2.647E-11,4.646E-11
41,3.025E-12,1.206E-11,2.679E-11,4.702E-11
42,3.058E-12,1.22E-11,2.708E-11,4.753E-11
43,3.088E-12,1.232E-11,2.735E-11,4.799E-11
44,3.116E-12,1.243E-11,2.759E-11,4.841E-11
45,3.14E-12,1.252E-11,2.78E-11,4.877E-11
46,3.16E-12,1.26E-11,2.798E-11,4.908E-11
47,3.178E-12,1.267E-11,2.813E-11,4.934E-11
48,3.191E-12,1.273E-11,2.824E-11,4.954E-11
49,3.201E-12,1.277E-11,2.833E-11,4.969E-11
50,3.207E-12,1.279E-11,2.838E-11,4.977E-11
51,3.21E-12,1.28E-11,2.84E-11,4.98E-11
52,3.209E-12,1.279E-11,2.838E-11,4.977E-11
53,3.203E-12,1.277E-11,2.833E-11,4.967E-11
54,3.194E-12,1.273E-11,2.824E-11,4.951E-11
55,3.18E-12,1.268E-11,2.812E-11,4.929E-11
56,3.162E-12,1.261E-11,2.796E-11,4.9E-11
57,3.14E-12,1.252E-11,2.776E-11,4.864E-11
58,3.113E-12,1.241E-11,2.752E-11,4.822E-11
59,3.082E-12,1.229E-11,2.724E-11,4.773E-11
60,3.047E-12,1.215E-11,2.692E-11,4.716E-11
61,3.007E-12,1.199E-11,2.657E-11,4.653E-11
62,2.962E-12,1.181E-11,2.617E-11,4.583E-11
63,2.913E-12,1.161E-11,2.573E-11,4.505E-11
64,2.858E-12,1.139E-11,2.524E-11,4.42E-11
65,2.8E-12,1.116E-11,2.472E-11,4.328E-11
66,2.736E-12,1.091E-11,2.415E-11,4.228E-11
67,2.668E-12,1.063E-11,2.355E-11,4.121E-11
68,2.594E-12,1.034E-11,2.29E-11,4.007E-11
69,2.516E-12,1.003E-11,2.221E-11,3.886E-11
70,2.434E-12,9.7E-12,2.147E-11,3.757E-11
71,2.347E-12,9.35E-12,2.07E-11,3.622E-11
72,2.255E-12,8.99E-12,1.989E-11,3.479E-11
73,2.158E-12,8.6E-12,1.903E-11,3.329E-11
74,2.058E-12,8.2E-12,1.814E-11,3.173E-11
75,1.952E-12,7.78E-12,1.721E-11,3.01E-11
76,1.843E-12,7.35E-12,1.625E-11,2.841E-11
77,1.73E-12,6.89E-12,1.525E-11,2.666E-11
78,1.613E-12,6.43E-12,1.422E-11,2.485E-11
79,1.492E-12,5.95E-12,1.315E-11,2.299E-11
80,1.368E-12,5.45E-12,1.206E-11,2.107E-11
81,1.241E-12,4.94E-12,1.093E-11,1.911E-11
82,1.111E-12,4.43E-12,9.78E-12,1.71E-11
83,9.78E-13,3.9E-12,8.61E-12,1.505E-11
84,8.43E-13,3.36E-12,7.42E-12,1.297E-11
85,7.05E-13,2.81E-12,6.21E-12,1.086E-11
86,5.66E-13,2.26E-12,4.99E-12,8.72E-12
87,4.26E-13,1.7E-12,3.75E-12,6.56E-12
88,2.85E-13,1.13E-12,2.51E-12,4.38E-12
89,1.42E-13,5.7E-13,1.25E-12,2.19E-12
90,0,0,0,0
91,-1.42E-13,-5.7E-13,-1.25E-12,-2.19E-12
92,-2.85E-13,-1.13E-12,-2.51E-12,-4.38E-12
93,-4.26E-13,-1.7E-12,-3.75E-12,-6.56E-12
94,-5.66E-13,-2.26E-12,-4.99E-12,-8.72E-12
95,-7.05E-13,-2.81E-12,-6.21E-12,-1.086E-11
96,-8.43E-13,-3.36E-12,-7.42E-12,-1.297E-11
97,-9.78E-13,-3.9E-12,-8.61E-12,-1.505E-11
98,-1.111E-12,-4.43E-12,-9.78E-12,-1.71E-11
99,-1.241E-12,-4.94E-12,-1.093E-11,-1.911E-11
100,-1.368E-12,-5.45E-12,-1.206E-11,-2.107E-11
101,-1.492E-12,-5.95E-12,-1.315E-11,-2.299E-11
102,-1.613E-12,-6.43E-12,-1.422E-11,-2.485E-11
103,-1.73E-12,-6.89E-12,-1.525E-11,-2.666E-11
104,-1.843E-12,-7.35E-12,-1.625E-11,-2.841E-11
105,-1.952E-12,-7.78E-12,-1.721E-11,-3.01E-11
106,-2.058E-12,-8.2E-12,-1.814E-11,-3.173E-11
107,-2.158E-12,-8.6E-12,-1.903E-11,-3.329E-11
108,-2.255E-12,-8.99E-12,-1.989E-11,-3.479E-11
109,-2.347E-12,-9.35E-12,-2.07E-11,-3.622E-11
110,-2.434E-12,-9.7E-12,-2.147E-11,-3.757E-11
111,-2.516E-12,-1.003E-11,-2.221E-11,-3.886E-11
112,-2.594E-12,-1.034E-11,-2.29E-11,-4.007E-11
113,-2.668E-12,-1.063E-11,-2.355E-11,-4.121E-11
114,-2.736E-12,-1.091E-11,-2.415E-11,-4.228E-11
115,-2.8E-12,-1.116E-11,-2.472E-11,-4.328E-11
116,-2.858E-12,-1.139E-11,-2.524E-11,-4.42E-11
117,-2.913E-12,-1.161E-11,-2.573E-11,-4.505E-11
118,-2.962E-12,-1.181E-11,-2.617E-11,-4.583E-11
119,-3.007E-12,-1.199E-11,-2.657E-11,-4.653E-11
120,-3.047E-12,-1.215E-11,-2.692E-11,-4.716E-11
121,-3.082E-12,-1.229E-11,-2.724E-11,-4.773E-11
122,-3.113E-12,-1.241E-11,-2.752E-11,-4.822E-11
123,-3.14E-12,-1.252E-11,-2.776E-11,-4.864E-11
124,-3.162E-12,-1.261E-11,-2.796E-11,-4.9E-11
125,-3.18E-12,-1.268E-11,-2.812E-11,-4.929E-11
126,-3.194E-12,-1.273E-11,-2.824E-11,-4.951E-11
127,-3.203E-12,-1.277E-11,-2.833E-11,-4.967E-11
128,-3.209E-12,-1.279E-11,-2.838E-11,-4.977E-11
129,-3.21E-12,-1.28E-11,-2.84E-11,-4.98E-11
130,-3.207E-12,-1.279E-11,-2.838E-11,-4.977E-11
131,-3.201E-12,-1.277E-11,-2.833E-11,-4.969E-11
132,-3.191E-12,-1.273E-11,-2.824E-11,-4.954E-11
133,-3.178E-12,-1.267E-11,-2.813E-11,-4.934E-11
